"time","HEOG"
1.99,0.114888
1.992,0.1110585
1.994,0.107229
1.996,0.107229
1.998,0.1033995
2,0.1110585
2.002,0.114888
2.004,0.1033995
2.006,0.1033995
2.008,0.1033995
2.01,0.1110585
2.012,0.1110585
2.014,0.1110585
2.016,0.1110585
2.018,0.1187175
2.02,0.1110585
2.022,0.107229
2.024,0.1110585
2.026,0.1110585
2.028,0.1033995
2.03,0.1033995
2.032,0.1033995
2.034,0.1033995
2.036,0.114888
2.038,0.114888
2.04,0.1110585
2.042,0.1110585
2.044,0.1187175
2.046,0.1033995
2.048,0.107229
2.05,0.1033995
2.052,0.091911
2.054,0.091911
2.056,0.107229
2.058,0.1033995
2.06,0.1110585
2.062,0.1110585
2.064,0.1110585
2.066,0.114888
2.068,0.1033995
2.07,0.107229
2.072,0.1033995
2.074,0.107229
2.076,0.107229
2.078,0.107229
2.08,0.114888
2.082,0.122547
2.084,0.107229
2.086,0.107229
2.088,0.1033995
2.09,0.114888
2.092,0.1033995
2.094,0.1033995
2.096,0.1033995
2.098,0.1033995
2.1,0.107229
2.102,0.114888
2.104,0.1110585
2.106,0.114888
2.108,0.114888
2.11,0.1110585
2.112,0.107229
2.114,0.1110585
2.116,0.1033995
2.118,0.114888
2.12,0.1033995
2.122,0.107229
2.124,0.1110585
2.126,0.114888
2.128,0.107229
2.13,0.107229
2.132,0.107229
2.134,0.114888
2.136,0.114888
2.138,0.107229
2.14,0.1033995
2.142,0.114888
2.144,0.114888
2.146,0.122547
2.148,0.1187175
2.15,0.114888
2.152,0.1263765
2.154,0.122547
2.156,0.1187175
2.158,0.114888
2.16,0.1187175
2.162,0.1263765
2.164,0.122547
2.166,0.122547
2.168,0.134037
2.17,0.1302075
2.172,0.1263765
2.174,0.1302075
2.176,0.1187175
2.178,0.1187175
2.18,0.114888
2.182,0.107229
2.184,0.1110585
2.186,0.1033995
2.188,0.114888
2.19,0.1110585
2.192,0.122547
2.194,0.1187175
2.196,0.107229
2.198,0.1033995
2.2,0.0957405
2.202,0.091911
2.204,0.0880815
2.206,0.09957
2.208,0.1033995
2.21,0.107229
2.212,0.09957
2.214,0.107229
2.216,0.107229
2.218,0.0957405
2.22,0.0957405
2.222,0.09957
2.224,0.0957405
2.226,0.0880815
2.228,0.091911
2.23,0.0880815
2.232,0.09957
2.234,0.1033995
2.236,0.1110585
2.238,0.114888
2.24,0.1033995
2.242,0.114888
2.244,0.107229
2.246,0.107229
2.248,0.114888
2.25,0.114888
2.252,0.114888
2.254,0.1033995
2.256,0.1110585
2.258,0.114888
2.26,0.1033995
2.262,0.1110585
2.264,0.09957
2.266,0.0957405
2.268,0.1033995
2.27,0.091911
2.272,0.1033995
2.274,0.1033995
2.276,0.1110585
2.278,0.1110585
2.28,0.107229
2.282,0.091911
2.284,0.091911
2.286,0.091911
2.288,0.09957
2.29,0.1110585
2.292,0.1110585
2.294,0.1110585
2.296,0.09957
2.298,0.091911
2.3,0.09957
2.302,0.09957
2.304,0.107229
2.306,0.107229
2.308,0.09957
2.31,0.091911
2.312,0.0880815
2.314,0.091911
2.316,0.107229
2.318,0.09957
2.32,0.091911
2.322,0.091911
2.324,0.084252
2.326,0.084252
2.328,0.091911
2.33,0.084252
2.332,0.0957405
2.334,0.0957405
2.336,0.0880815
2.338,0.0765915
2.34,0.0804225
2.342,0.084252
2.344,0.084252
2.346,0.084252
2.348,0.084252
2.35,0.084252
2.352,0.072762
2.354,0.0689325
2.356,0.0804225
2.358,0.084252
2.36,0.091911
2.362,0.091911
2.364,0.0957405
2.366,0.084252
2.368,0.084252
2.37,0.0880815
2.372,0.084252
2.374,0.084252
2.376,0.072762
2.378,0.0765915
2.38,0.0880815
2.382,0.0880815
2.384,0.084252
2.386,0.084252
2.388,0.091911
2.39,0.091911
2.392,0.091911
2.394,0.0957405
2.396,0.0880815
2.398,0.084252
2.4,0.0880815
2.402,0.084252
2.404,0.0804225
2.406,0.0765915
2.408,0.084252
2.41,0.072762
2.412,0.0765915
2.414,0.084252
2.416,0.0880815
2.418,0.084252
2.42,0.084252
2.422,0.091911
2.424,0.084252
2.426,0.0957405
2.428,0.0957405
2.43,0.0880815
2.432,0.0880815
2.434,0.091911
2.436,0.084252
2.438,0.0765915
2.44,0.0765915
2.442,0.084252
2.444,0.0765915
2.446,0.072762
2.448,0.065103
2.45,0.065103
2.452,0.065103
2.454,0.049785
2.456,0.057444
2.458,0.0459555
2.46,0.0382965
2.462,0.042126
2.464,0.042126
2.466,0.0536145
2.468,0.065103
2.47,0.072762
