"time","HEOG"
2.226,0.058721
2.228,0.061274
2.23,0.058721
2.232,0.06638
2.234,0.068933
2.236,0.074039
2.238,0.076592
2.24,0.068933
2.242,0.076592
2.244,0.071486
2.246,0.071486
2.248,0.076592
2.25,0.076592
2.252,0.076592
2.254,0.068933
2.256,0.074039
2.258,0.076592
2.26,0.068933
2.262,0.074039
2.264,0.06638
2.266,0.063827
2.268,0.068933
2.27,0.061274
2.272,0.068933
2.274,0.068933
2.276,0.074039
2.278,0.074039
2.28,0.071486
2.282,0.061274
2.284,0.061274
2.286,0.061274
2.288,0.06638
2.29,0.074039
2.292,0.074039
2.294,0.074039
2.296,0.06638
2.298,0.061274
2.3,0.06638
2.302,0.06638
2.304,0.071486
2.306,0.071486
2.308,0.06638
2.31,0.061274
2.312,0.058721
2.314,0.061274
2.316,0.071486
2.318,0.06638
2.32,0.061274
2.322,0.061274
2.324,0.056168
2.326,0.056168
2.328,0.061274
2.33,0.056168
2.332,0.063827
2.334,0.063827
2.336,0.058721
2.338,0.051061
2.34,0.053615
2.342,0.056168
2.344,0.056168
2.346,0.056168
2.348,0.056168
2.35,0.056168
2.352,0.048508
2.354,0.045955
2.356,0.053615
2.358,0.056168
2.36,0.061274
2.362,0.061274
2.364,0.063827
2.366,0.056168
2.368,0.056168
2.37,0.058721
2.372,0.056168
2.374,0.056168
2.376,0.048508
2.378,0.051061
2.38,0.058721
2.382,0.058721
2.384,0.056168
2.386,0.056168
2.388,0.061274
2.39,0.061274
2.392,0.061274
2.394,0.063827
2.396,0.058721
2.398,0.056168
2.4,0.058721
2.402,0.056168
2.404,0.053615
2.406,0.051061
2.408,0.056168
2.41,0.048508
2.412,0.051061
2.414,0.056168
2.416,0.058721
2.418,0.056168
2.42,0.056168
2.422,0.061274
2.424,0.056168
2.426,0.063827
2.428,0.063827
2.43,0.058721
2.432,0.058721
2.434,0.061274
2.436,0.056168
2.438,0.051061
2.44,0.051061
2.442,0.056168
2.444,0.051061
2.446,0.048508
2.448,0.043402
2.45,0.043402
2.452,0.043402
2.454,0.03319
2.456,0.038296
2.458,0.030637
2.46,0.025531
2.462,0.028084
2.464,0.028084
2.466,0.035743
2.468,0.043402
2.47,0.048508
2.472,0.048508
2.474,0.035743
2.476,0.040849
2.478,0.035743
2.48,0.043402
2.482,0.040849
2.484,0.040849
2.486,0.038296
2.488,0.045955
2.49,0.043402
2.492,0.038296
2.494,0.038296
2.496,0.030637
2.498,0.03319
2.5,0.03319
2.502,0.043402
2.504,0.043402
2.506,0.045955
2.508,0.045955
2.51,0.038296
2.512,0.040849
2.514,0.045955
2.516,0.051061
2.518,0.048508
2.52,0.056168
2.522,0.053615
2.524,0.056168
2.526,0.058721
2.528,0.061274
2.53,0.061274
2.532,0.063827
2.534,0.071486
2.536,0.071486
2.538,0.076592
2.54,0.071486
2.542,0.071486
2.544,0.063827
2.546,0.063827
2.548,0.06638
2.55,0.074039
2.552,0.071486
2.554,0.063827
2.556,0.06638
2.558,0.06638
2.56,0.063827
2.562,0.06638
2.564,0.058721
2.566,0.058721
2.568,0.061274
2.57,0.058721
2.572,0.061274
2.574,0.06638
